ID,Site,pop_denomE,housing_numE,income_numE,ALAND,density.km2,housing.km2,p_white,p_black,white_numE,black_numE,imperv.mean,tree.mean,RICHNESS,SHANNON,StudyArea
1,ACC Library,909,541,37321,691078,1315.33633,782.8349332,61.49614961,17.38173817,559,158,77.73313137,16.73451999,5,1.026538819,Athens
2,Barnes Property,876,385,71420,739355,1184.816495,520.7241447,72.48858447,11.75799087,635,103,4.586528367,53.25059667,3,0.680664356,Athens
3,Bear Hollow Zoo,1338,637,39861,930120,1438.524061,684.8578678,78.47533632,3.139013453,1050,42,0.566641878,97.54056222,8,1.108436351,Athens
4,Beech Haven,2342,1071,16427,1218945,1921.333612,878.6286502,18.83005978,77.24167378,441,1809,0,97.50307976,8,1.08028334,Athens
5,Ben Burton Park,1826,768,35481,1484019,1230.442467,517.5135898,64.56736035,21.3033954,1179,389,0,46.3400772,3,0.6697,Athens
6,Ben Epps Airport,2087,995,19688,21229383,98.30714345,46.86900227,29.94729276,51.98850024,625,1085,0,0,5,0.90326643,Athens
7,Cedar Shoals H.S.,1895,852,71417,2369716,799.673885,359.5367546,69.65699208,28.44327177,1320,539,3.651175249,77.53794044,7,0.84382112,Athens
8,College of Vet Med,1332,462,64423,2650539,502.5392948,174.3041698,62.76276276,23.1981982,836,309,26.31961382,16.40233777,4,0.585572113,Athens
9,Dairy Farm,2289,857,87375,42882824,53.37801447,19.98469131,44.99781564,46.92005242,1030,1074,0,70.83965277,8,1.926369672,Athens
10,Decker Park,1241,488,155417,1302233,952.9784608,374.7409258,96.29331185,0,1195,0,29.01069646,21.12266394,4,0.436881535,Athens
11,Dudley Park,2279,766,34667,1596629,1427.382316,479.760796,19.43835015,59.36814392,443,1353,2.818607702,59.85544455,4,0.854142196,Athens
12,DX Beech Haven,1434,511,20652,1959208,731.9284119,260.8196782,71.75732218,11.43654114,1029,164,0,93.46794782,5,0.613758798,Athens
13,Ed Halper,1914,699,0,947209,2020.673368,737.9575152,83.59456635,5.329153605,1600,102,21.62780303,38.15724235,4,0.375592084,Athens
14,Firestation #4,2009,888,51310,3481084,577.1190813,255.0929538,56.74464908,24.88800398,1140,500,0,52.50112551,7,1.533801042,Athens
15,Lake Herrick,1429,688,35313,1488927,959.7515526,462.0777244,53.88383485,3.708887334,770,53,3.941602544,54.02443077,8,1.764207717,Athens
16,Landfill North,1241,521,55685,25519402,48.62966617,20.4158389,74.77840451,23.20709106,928,288,0,95.43444264,10,1.737429597,Athens
17,Landfill South,2289,857,87375,42882824,53.37801447,19.98469131,44.99781564,46.92005242,1030,1074,0,20.46138683,10,1.644718084,Athens
18,Mitchell Bridge Rd,1656,863,0,2447805,676.5244781,352.5607636,85.62801932,9.178743961,1418,152,28.3690979,32.57880951,8,1.388541343,Athens
